"","ibge_code","ibge_name","taxes_2010","taxes_2014","gdp_2010","gdp_2014","pop_2010","pop_2014","taxes_per_capita","taxes_per_gdp","taxes_growth","gdp_growth","pop_growth","Center","Left","Right","Total","delta"
"83",1600238,"Ferreira Gomes",2285.837,18484.598,69507.65,190728.348,5772,6714,2.75314238903783,0.0969158396946845,0.686324648308717,0.287050715549711,0.0385173431753252,0,3560,713,4273,0.666276620641236
"84",2607752,"Itapissuma",89601.99,302846.496,464779.754,1273981.143,23723,25514,11.8698164145175,0.237716623722428,0.355895515970061,0.286704884227658,0.0183621178518916,4,12552,280,12836,0.956061078217513
"85",3123403,"Doresópolis",385.332,885.212,15348.695,41909.821,1440,1512,0.585457671957672,0.0211218272681241,0.231127561346516,0.285467459857191,0.0122722344290394,2,593,621,1216,-0.0230263157894737
"86",4117305,"Ortigueira",12868.955,123110.955,247676.77,674143.906,23364,23530,5.23208478538037,0.182618212379124,0.758686194764247,0.284448909688534,0.00177152393810287,3,7607,4313,11923,0.276272750146775
"87",5107800,"Santo Antônio do Leverger",14533.041,21661.6,176621.475,479978.669,18409,19030,1.13828691539674,0.04513033890679,0.10492680198761,0.283939640255102,0.00832874406204209,3,7897,2814,10714,0.474425984692925
"88",4115606,"Matelândia",24773.508,63893.599,255255.318,688802.636,16077,17186,3.71777021994647,0.0927603868809817,0.267265059561308,0.281681159703866,0.0168161815189798,1,2802,6799,9602,-0.416267444282441
"89",3553856,"Taquarivaí",775.37,2259.421,61988.213,166835.811,5149,5548,0.407249639509733,0.0135427818911133,0.306537989018699,0.280840466316464,0.0188339074752293,1,1336,1999,3336,-0.198741007194245
"90",5107941,"Tabaporã",8986.187,19844.826,132177.63,355234.74,9917,9582,2.07105259862242,0.055863978843961,0.21904001301147,0.280381432461738,-0.00855423199374794,1,1496,2787,4284,-0.301353874883287
"91",4113908,"Mallet",23168.082,28944.059,255465.646,676576.738,12973,13522,2.14051612187546,0.0427801568903482,0.0572247907098924,0.275692901419674,0.0104157992085239,4,4127,3841,7972,0.0358755644756648
"92",2405801,"João Câmara",17070.627,70911.077,208544.957,551610.147,32203,34324,2.0659327875539,0.128552887189728,0.427631599452321,0.275287604789699,0.0160741212770523,6,14414,3049,17469,0.650581029251817
"93",2304301,"Farias Brito",3385.825,3953.803,75300.976,197393.489,19007,18937,0.208787189100702,0.0200300578303269,0.039531442311628,0.272427523227551,-0.000921987729866625,30,10350,1116,11496,0.803235908141962
"94",2704203,"Limoeiro de Anadia",1483.321,9063.057,97823.58,255678.445,26992,28439,0.318684095783959,0.0354470905828608,0.572207600812291,0.271489098505795,0.0131408207638855,1,9112,1696,10809,0.686094920899251
"95",1721257,"Tupirama",1054.636,1549.749,26070.701,68128.527,1574,1751,0.885065105653912,0.0227474314834372,0.101006019094043,0.271434736810667,0.0269997893425054,0,797,314,1111,0.434743474347435
"96",2928901,"São Desidério",38985.084,72834.589,959035.351,2505744.25,27692,32078,2.27054644927988,0.0290670482432515,0.169121911020657,0.271380457632068,0.0374406000551917,2,11227,2624,13853,0.621020717534108
"97",4120705,"Quatiguá",5913.439,25183.535,74990.107,194865.449,7044,7377,3.41379083638335,0.129235506495561,0.436544694855844,0.269646200373072,0.0116146475716621,5,2038,2864,4907,-0.168330955777461
"98",1300102,"Anori",1149.372,918.461,64424.012,166958.269,16289,18826,0.0487868373525975,0.00550114112646915,-0.0545250503328386,0.268790860425434,0.0368499421185531,2,4966,1386,6354,0.563424614416116
"99",4211306,"Navegantes",250273.078,814391.44,1423383.314,3682249.102,60588,70565,11.5410109827818,0.221166851410912,0.343088919967778,0.268229420108664,0.0388448288166556,17,14403,15624,30044,-0.0406403940886699
"100",5106240,"Nova Ubiratã",24608.007,46702.162,265204.205,684552.281,9245,10508,4.44443871336125,0.0682229294916337,0.173721705677514,0.267525058758711,0.0325314461883814,1,2063,1800,3864,0.068064182194617
"101",3540903,"Pradópolis",18688.065,59533.021,250901.341,646600.542,17404,19450,3.06082370179949,0.092070787345551,0.335975200107121,0.267019416939226,0.0281764037616734,5,5004,4328,9337,0.0724001285209382
